DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2010-04-13 23:00:00,115.1875,20100900,116.578125,20100600,115.1875,20100900
2010-04-14 23:00:00,114.890625,20100900,116.28125,20100600,114.890625,20100900
2010-04-15 23:00:00,115.0,20100900,116.390625,20100600,115.0,20100900
2010-04-16 23:00:00,115.703125,20100900,117.078125,20100600,115.703125,20100900
2010-04-19 23:00:00,115.40625,20100900,116.796875,20100600,115.40625,20100900
2010-04-20 23:00:00,115.375,20100900,116.765625,20100600,115.375,20100900
2010-04-21 23:00:00,115.8125,20100900,117.1875,20100600,115.8125,20100900
2010-04-22 23:00:00,115.453125,20100900,116.828125,20100600,115.453125,20100900
2010-04-23 23:00:00,115.0625,20100900,116.453125,20100600,115.0625,20100900
2010-04-26 23:00:00,115.1875,20100900,116.578125,20100600,115.1875,20100900
2010-04-27 23:00:00,116.3125,20100900,117.65625,20100600,116.3125,20100900
2010-04-28 23:00:00,115.640625,20100900,117.0,20100600,115.640625,20100900
2010-04-29 23:00:00,116.09375,20100900,117.4375,20100600,116.09375,20100900
2010-04-30 23:00:00,116.625,20100900,117.90625,20100600,116.625,20100900
2010-05-03 23:00:00,116.171875,20100900,117.484375,20100600,116.171875,20100900
2010-05-04 23:00:00,116.859375,20100900,118.140625,20100600,116.859375,20100900
2010-05-05 23:00:00,117.40625,20100900,118.671875,20100600,117.40625,20100900
2010-05-06 23:00:00,118.84375,20100900,119.921875,20100600,118.84375,20100900
2010-05-07 23:00:00,118.546875,20100900,119.6875,20100600,118.546875,20100900
2010-05-10 23:00:00,117.765625,20100900,118.9375,20100600,117.765625,20100900
2010-05-11 23:00:00,117.875,20100900,119.015625,20100600,117.875,20100900
2010-05-12 23:00:00,117.65625,20100900,118.796875,20100600,117.65625,20100900
2010-05-13 23:00:00,117.78125,20100900,118.859375,20100600,117.78125,20100900
2010-05-14 23:00:00,118.703125,20100900,119.765625,20100600,118.703125,20100900
2010-05-17 23:00:00,118.515625,20100900,119.578125,20100600,118.515625,20100900
2010-05-18 23:00:00,119.15625,20100900,120.203125,20100600,119.15625,20100900
2010-05-19 23:00:00,119.25,20100900,120.25,20100600,119.25,20100900
2010-05-20 23:00:00,119.984375,20100900,120.953125,20100600,119.984375,20100900
2010-05-21 23:00:00,120.453125,20100900,121.3125,20100600,120.453125,20100900
2010-05-24 23:00:00,120.328125,20100900,121.171875,20100600,120.328125,20100900
2010-05-25 23:00:00,120.890625,20100900,121.671875,20100600,120.890625,20100900
2010-05-26 23:00:00,120.328125,20100900,121.15625,20100600,120.328125,20100900
2010-05-27 23:00:00,119.5,20100900,120.3125,20100600,119.5,20100900
2010-05-28 23:00:00,118.640625,20101200,119.875,20100900,118.640625,20101200
2010-06-01 23:00:00,118.65625,20101200,119.890625,20100900,118.65625,20101200
2010-06-02 23:00:00,118.3125,20101200,119.546875,20100900,118.3125,20101200
2010-06-03 23:00:00,118.09375,20101200,119.328125,20100900,118.09375,20101200
2010-06-04 23:00:00,119.5,20101200,120.734375,20100900,119.5,20101200
2010-06-07 23:00:00,119.640625,20101200,120.859375,20100900,119.640625,20101200
2010-06-08 23:00:00,119.859375,20101200,121.03125,20100900,119.859375,20101200
2010-06-09 23:00:00,119.71875,20101200,120.859375,20100900,119.71875,20101200
2010-06-10 23:00:00,118.703125,20101200,119.84375,20100900,118.703125,20101200
2010-06-11 23:00:00,119.5625,20101200,120.65625,20100900,119.5625,20101200
2010-06-14 23:00:00,119.09375,20101200,120.1875,20100900,119.09375,20101200
2010-06-15 23:00:00,118.796875,20101200,119.890625,20100900,118.796875,20101200
2010-06-16 23:00:00,118.96875,20101200,120.0625,20100900,118.96875,20101200
